afsd_h,frzmlt_h,sst_h
"0.09317392,0.013915852,0.0053067263,0.002515084,0.0013013133,0.00069827517,0.00031530237,0.0001797801,9.561084e-05,6.1185565e-05,2.2535361e-05,0.00053562707",4243.1836,-1.799715
"0.09316734,0.01391482,0.005306117,0.002514578,0.0013008172,0.00069777225,0.00031464474,0.00017926331,9.5142335e-05,6.0672453e-05,2.2456987e-05,0.00053713453",4173.4,-1.7997384
"0.093109086,0.013906122,0.005302809,0.00251302,0.0013000208,0.0006973539,0.0003144582,0.00017916226,9.509954e-05,6.0683637e-05,2.239566e-05,0.00053677126",4108.674,-1.7997724
"0.09316853,0.013915017,0.00530628,0.002514744,0.0013009985,0.0006979659,0.0003149056,0.00017946976,9.533141e-05,6.088416e-05,2.2482109e-05,0.0005365163",4044.4065,-1.7998178
"0.093163446,0.01391424,0.005305899,0.002514478,0.0013007693,0.0006977501,0.000314639,0.00017926216,9.51452e-05,6.068229e-05,2.2449318e-05,0.00053709367",3982.5703,-1.7998693
"0.09316106,0.013913875,0.005305726,0.002514362,0.0013006725,0.000697661,0.00031453132,0.00017917852,9.507033e-05,6.0600792e-05,2.2436907e-05,0.0005373222",3919.8682,-1.7998892
"0.093022816,0.013893218,0.005297799,0.0025105556,0.0012986483,0.00069651776,0.00031388248,0.00017877428,9.48161e-05,6.0449634e-05,2.2281443e-05,0.0005369622",3855.6245,-1.7998759
"0.09312849,0.013909105,0.005304327,0.0025141207,0.0013010013,0.00069829595,0.0003156435,0.00018008727,9.593084e-05,6.158272e-05,2.2547812e-05,0.0005341603",3789.6191,-1.7998731
"0.09308603,0.013902842,0.0053022904,0.0025135085,0.0013010644,0.00069871335,0.0003165185,0.00018081588,9.663492e-05,6.240275e-05,2.2622608e-05,0.00053143635",3724.206,-1.7998765
"0.09315912,0.01391383,0.0053067976,0.002515964,0.0013026794,0.00069992937,0.0003177187,0.00018170958,9.739198e-05,6.316779e-05,2.2809909e-05,0.00052954204",3655.369,-1.7998552
"0.09315494,0.0139132915,0.0053069736,0.0025164303,0.001303333,0.00070069707,0.00031882312,0.0001825891,9.820103e-05,6.406257e-05,2.2941957e-05,0.0005267974",3586.6619,-1.7998347
"0.09315413,0.013913332,0.0053077005,0.0025174895,0.0013046507,0.0007021828,0.0003209099,0.00018424532,9.971879e-05,6.573534e-05,2.3194236e-05,0.0005217108",3519.6208,-1.7998036
"0.093150005,0.013912975,0.00530872,0.002519133,0.001306751,0.00070457446,0.00032429225,0.00018693139,0.00010218107,6.844437e-05,2.3613175e-05,0.00051342713",3454.6963,-1.7997481
"0.09315347,0.013913846,0.0053106267,0.0025216185,0.001309741,0.0007079034,0.00032894284,0.00019061605,0.00010554837,7.21279e-05,2.4214323e-05,0.0005021667",3390.3164,-1.7996765
"0.09316755,0.013916373,0.0053134747,0.002524861,0.0013134584,0.0007119628,0.00033455633,0.00019505361,0.00010959075,7.65188e-05,2.4979669e-05,0.00048871565",3326.869,-1.7996117
"0.093179226,0.01391839,0.0053154514,0.0025270036,0.0013158506,0.0007145252,0.0003376905,0.0001976053,0.0001120836,8.002632e-05,2.4146688e-05,0.0004811884",3264.8406,-1.799571
"0.09319135,0.013920564,0.005317903,0.0025297941,0.0013190466,0.0007180103,0.00034244286,0.00020137518,0.00011554699,8.392572e-05,2.457852e-05,0.00046979144",3203.212,-1.7995548
"0.09319566,0.013921546,0.0053197728,0.0025321818,0.0013218989,0.0007211757,0.00034683265,0.00020485738,0.00011873949,8.7468994e-05,2.5064686e-05,0.00045917265",3145.1973,-1.7995495
"0.09319873,0.013922246,0.00532112,0.0025339052,0.0013239594,0.00072346476,0.00035003273,0.00020739087,0.0001210511,8.998258e-05,2.5501478e-05,0.00045143525",3092.613,-1.7995584
"0.09320004,0.013922616,0.005322033,0.0025351145,0.001325424,0.000725102,0.00035237247,0.00020923514,0.00012271496,9.170058e-05,2.596515e-05,0.00044577304",3045.1802,-1.7995925
"0.09319955,0.013922701,0.0053227674,0.0025361702,0.0013267361,0.000726586,0.00035455177,0.00021094522,0.00012423897,9.3179915e-05,2.6544592e-05,0.00044048336",3000.3408,-1.7996162
"0.09320018,0.013922947,0.0053235497,0.0025372335,0.0013280365,0.0007280485,0.0003567019,0.0002126296,0.00012573473,9.460961e-05,2.7148732e-05,0.0004352818",2956.0574,-1.7996238
